seed,mean_E_A1,mean_E_B,mean_E_A2_DWMA,mean_E_A2_Ablated,Retention_R_DWMA,Retention_R_Ablated,t_eps_B,passed
1,0.00487,0.35525,0.0051,0.36667,0.9539,-73.241,16,True
2,0.00501,0.44611,0.00495,0.3467,1.0,-67.2327,19,True
3,0.00516,0.33024,0.005,0.36876,1.0,-69.4256,16,True
4,0.00503,0.3354,0.00503,0.44199,0.9994,-85.9244,15,True
5,0.00511,0.35841,0.0049,0.36631,1.0,-69.6851,16,True
6,0.00497,0.37187,0.00502,0.41353,0.9906,-81.2034,17,True
7,0.00504,0.37689,0.00493,0.38013,1.0,-73.3756,16,True
8,0.00494,0.32468,0.00503,0.4142,0.9818,-81.7979,15,True
9,0.00509,0.37903,0.00493,0.38161,1.0,-73.0088,16,True
10,0.00517,0.36468,0.00489,0.35811,1.0,-67.3191,17,True
11,0.00495,0.37031,0.00494,0.40991,1.0,-80.8582,17,True
12,0.00492,0.37491,0.00489,0.34573,1.0,-68.3081,17,True
13,0.00495,0.4481,0.00504,0.36895,0.9817,-72.5136,19,True
14,0.00494,0.35915,0.00496,0.38248,0.9957,-75.4798,16,True
15,0.00518,0.43365,0.00499,0.34316,1.0,-64.3013,19,True
16,0.00498,0.34768,0.00505,0.39973,0.9851,-78.314,17,True
17,0.00501,0.35903,0.00503,0.35973,0.9977,-69.7458,16,True
18,0.00484,0.35398,0.00513,0.43144,0.94,-87.1306,16,True
19,0.005,0.53845,0.00488,0.36907,1.0,-71.8372,22,True
20,0.00498,0.30872,0.00501,0.33791,0.9939,-65.8287,16,True
21,0.00509,0.38956,0.00499,0.36274,1.0,-69.2632,16,True
22,0.00502,0.38365,0.00502,0.37091,0.9986,-71.9334,16,True
23,0.00497,0.34884,0.00508,0.37039,0.9769,-72.524,17,True
24,0.00495,0.38063,0.00492,0.3704,1.0,-72.8165,16,True
25,0.00498,0.35156,0.0051,0.43246,0.9772,-84.7616,16,True
26,0.00495,0.31775,0.00492,0.31874,1.0,-62.4226,16,True
27,0.00506,0.34983,0.00505,0.41242,1.0,-79.5431,16,True
28,0.00495,0.38314,0.00503,0.39067,0.9849,-76.8841,18,True
29,0.00499,0.34878,0.0051,0.39887,0.9777,-77.9966,16,True
30,0.00495,0.4678,0.0051,0.40981,0.9698,-80.7173,20,True
31,0.00504,0.33304,0.00501,0.31504,1.0,-60.4504,16,True
32,0.00506,0.45987,0.00498,0.35245,1.0,-67.6206,20,True
33,0.00492,0.37988,0.00506,0.34866,0.9699,-68.9274,17,True
34,0.00504,0.3955,0.0051,0.39013,0.9878,-75.3885,17,True
35,0.005,0.39986,0.00506,0.35786,0.9873,-69.5853,18,True
36,0.00493,0.32386,0.0049,0.37698,1.0,-74.4179,15,True
37,0.00501,0.35412,0.00504,0.36415,0.9946,-70.6622,16,True
38,0.00501,0.35044,0.00516,0.38059,0.9696,-73.9873,17,True
39,0.00498,0.32319,0.00503,0.36056,0.9883,-70.4477,15,True
40,0.00509,0.44033,0.00491,0.30487,1.0,-57.8854,19,True
41,0.00494,0.36666,0.00508,0.38549,0.9717,-76.0955,16,True
42,0.00491,0.3822,0.0051,0.33227,0.9609,-65.6914,17,True
43,0.00493,0.443,0.00492,0.42832,1.0,-84.8036,19,True
44,0.00497,0.37865,0.00497,0.37958,0.999,-74.4126,16,True
45,0.00493,0.39718,0.00505,0.3867,0.9772,-76.3633,17,True
46,0.00516,0.36351,0.00507,0.37782,1.0,-71.2718,17,True
47,0.00498,0.54765,0.00501,0.38738,0.9931,-75.8165,23,True
48,0.00501,0.37075,0.00499,0.38424,1.0,-74.6231,17,True
49,0.00493,0.40458,0.00492,0.34017,1.0,-66.9898,18,True
50,0.00506,0.34427,0.00502,0.35306,1.0,-67.7983,17,True
