step,epoch,gravity,pred_x,actual_x,error,active_schema
1,Epoch_A1,9.8,0.4579,0.4579,0.0051,schema_A
2,Epoch_A1,9.8,1.6685,1.6685,0.0054,schema_A
3,Epoch_A1,9.8,3.3696,3.3696,0.005,schema_A
4,Epoch_A1,9.8,5.508,5.508,0.0048,schema_A
5,Epoch_A1,9.8,8.173,8.173,0.0038,schema_A
6,Epoch_A1,9.8,11.318,11.318,0.0048,schema_A
7,Epoch_A1,9.8,14.6683,14.6683,0.0058,schema_A
8,Epoch_A1,9.8,18.0952,18.0952,0.005,schema_A
9,Epoch_A1,9.8,21.54,21.54,0.0049,schema_A
10,Epoch_A1,9.8,25.3519,25.3519,0.004,schema_A
11,Epoch_A1,9.8,29.5365,29.5365,0.0051,schema_A
12,Epoch_A1,9.8,33.6954,33.6954,0.0052,schema_A
13,Epoch_A1,9.8,38.1957,38.1957,0.0052,schema_A
14,Epoch_A1,9.8,42.5895,42.5895,0.0052,schema_A
15,Epoch_A1,9.8,46.9021,46.9021,0.0055,schema_A
16,Epoch_A1,9.8,51.1915,51.1915,0.0051,schema_A
17,Epoch_A1,9.8,55.5228,55.5228,0.0053,schema_A
18,Epoch_A1,9.8,60.1054,60.1054,0.0049,schema_A
19,Epoch_A1,9.8,64.8769,64.8769,0.0044,schema_A
20,Epoch_A1,9.8,69.8282,69.8282,0.0047,schema_A
21,Epoch_A1,9.8,74.8598,74.8598,0.0051,schema_A
22,Epoch_A1,9.8,79.8164,79.8164,0.0054,schema_A
23,Epoch_A1,9.8,84.7734,84.7734,0.0055,schema_A
24,Epoch_A1,9.8,89.5902,89.5902,0.005,schema_A
25,Epoch_A1,9.8,94.4565,94.4565,0.0052,schema_A
26,Epoch_A1,9.8,99.4624,99.4624,0.0045,schema_A
27,Epoch_A1,9.8,104.3312,104.3312,0.0057,schema_A
28,Epoch_A1,9.8,109.0613,109.0613,0.0053,schema_A
29,Epoch_A1,9.8,113.7771,113.7771,0.0048,schema_A
30,Epoch_A1,9.8,118.3675,118.3675,0.0052,schema_A
31,Epoch_A1,9.8,122.8349,122.8349,0.0057,schema_A
32,Epoch_A1,9.8,127.5957,127.5957,0.0048,schema_A
33,Epoch_A1,9.8,132.4192,132.4192,0.006,schema_A
34,Epoch_A1,9.8,137.3516,137.3516,0.0047,schema_A
35,Epoch_A1,9.8,142.3402,142.3402,0.0046,schema_A
36,Epoch_A1,9.8,147.3151,147.3151,0.005,schema_A
37,Epoch_A1,9.8,152.4253,152.4253,0.0053,schema_A
