seed,mean_E_A_to_A,zero_shot_E_B,zero_shot_E_C,E_0_initial_B_prime,E_T_final_B_prime,T_epsilon_steps,A_adapt_rate,polarity_flip_step,passed
1,0.005,1.2252,0.827,2.1499,0.0036,16,0.0537,7,True
2,0.005,1.2604,0.7701,1.6302,0.0043,17,0.0406,7,True
3,0.005,1.301,0.8202,1.7088,0.0037,16,0.0426,7,True
4,0.005,1.2914,0.8003,1.5758,0.0054,16,0.0393,7,True
5,0.005,1.3419,0.7967,2.3541,0.0052,16,0.0587,7,True
6,0.005,1.3067,0.7852,2.0039,0.0043,15,0.05,7,True
7,0.005,1.2663,0.8287,1.5134,0.0053,16,0.0377,7,True
8,0.0051,1.2812,0.8806,2.1986,0.0027,16,0.0549,7,True
9,0.0051,1.2991,0.8388,2.1644,0.0051,17,0.054,7,True
10,0.005,1.37,0.8027,2.3083,0.0036,16,0.0576,7,True
11,0.005,1.3223,0.8416,2.3822,0.005,16,0.0594,7,True
12,0.005,1.4195,0.78,1.6905,0.0033,16,0.0422,7,True
13,0.005,1.2687,0.7966,1.418,0.0039,17,0.0354,7,True
14,0.005,1.2994,0.8248,1.6635,0.0034,15,0.0415,7,True
15,0.005,1.3378,0.8476,2.3112,0.0043,17,0.0577,7,True
16,0.005,1.264,0.8051,2.3679,0.0035,17,0.0591,7,True
17,0.005,1.3166,0.8116,1.7925,0.0049,16,0.0447,7,True
18,0.005,1.3514,0.8213,1.6518,0.0044,17,0.0412,7,True
19,0.005,1.378,0.8171,1.3809,0.0036,16,0.0344,7,True
20,0.005,1.2729,0.7709,2.3563,0.0027,16,0.0588,7,True
21,0.005,1.2851,0.7907,2.1965,0.0038,16,0.0548,7,True
22,0.005,1.2574,0.8519,1.8202,0.0047,16,0.0454,7,True
23,0.005,1.3278,0.8151,1.6919,0.002,16,0.0422,7,True
24,0.005,1.3457,0.8395,1.3367,0.0051,16,0.0333,7,True
25,0.005,1.2677,0.7861,1.511,0.0038,17,0.0377,7,True
26,0.005,1.2932,0.792,1.7561,0.0052,17,0.0438,7,True
27,0.005,1.281,0.8274,1.3176,0.002,16,0.0329,7,True
28,0.005,1.2761,0.8222,1.5575,0.0058,16,0.0388,7,True
29,0.005,1.2753,0.8081,2.3576,0.0039,16,0.0588,7,True
30,0.005,1.2934,0.7574,1.9593,0.0038,17,0.0489,7,True
31,0.005,1.3357,0.8051,1.5887,0.0063,17,0.0396,7,True
32,0.005,1.3806,0.8092,2.2253,0.0047,17,0.0555,7,True
33,0.005,1.3759,0.7804,1.7945,0.0033,16,0.0448,7,True
34,0.005,1.3409,0.8134,1.9336,0.0048,16,0.0482,7,True
35,0.005,1.3136,0.7631,1.4466,0.0054,15,0.036,7,True
36,0.005,1.3045,0.8041,2.3458,0.0038,17,0.0585,7,True
37,0.005,1.3131,0.8061,1.5096,0.0046,17,0.0376,7,True
38,0.005,1.2488,0.8531,2.1761,0.0029,17,0.0543,7,True
39,0.005,1.287,0.7963,1.4111,0.003,16,0.0352,7,True
40,0.005,1.3052,0.7609,1.8074,0.0024,17,0.0451,7,True
41,0.005,1.382,0.8,2.0012,0.0044,15,0.0499,7,True
42,0.005,1.2983,0.8038,1.705,0.0033,17,0.0425,7,True
43,0.005,1.3018,0.8399,1.7874,0.0039,17,0.0446,7,True
44,0.005,1.293,0.8452,2.3596,0.003,16,0.0589,7,True
45,0.005,1.3827,0.8342,1.7097,0.0031,16,0.0427,7,True
46,0.005,1.2505,0.811,1.8459,0.0034,16,0.0461,7,True
47,0.005,1.2862,0.852,1.6963,0.0039,17,0.0423,7,True
48,0.005,1.2905,0.8533,1.2736,0.0054,17,0.0317,7,True
49,0.005,1.3575,0.7875,1.7223,0.0038,16,0.043,7,True
50,0.005,1.2726,0.8099,1.9898,0.0027,17,0.0497,7,True
