step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
1,A_to_A,0.88,0.85,9.8,0.7426,0.7426,0.7426,0.7426,0.005,1.0,1.0
2,A_to_A,0.88,0.85,9.8,2.0764,1.3338,2.0764,1.3338,0.005,1.0,1.0
3,A_to_A,0.88,0.85,9.8,3.6993,1.6229,3.6993,1.6229,0.005,1.0,1.0
4,A_to_A,0.88,0.85,9.8,5.5701,1.8709,5.5701,1.8709,0.005,1.0,1.0
5,A_to_A,0.88,0.85,9.8,7.932,2.3618,7.932,2.3618,0.005,1.0,1.0
6,A_to_A,0.88,0.85,9.8,10.8407,2.9087,10.8407,2.9087,0.005,1.0,1.0
7,A_to_A,0.88,0.85,9.8,14.2447,3.4041,14.2447,3.4041,0.005,1.0,1.0
8,A_to_A,0.88,0.85,9.8,17.9995,3.7547,17.9995,3.7547,0.005,1.0,1.0
9,A_to_A,0.88,0.85,9.8,22.1416,4.1422,22.1416,4.1422,0.005,1.0,1.0
10,A_to_A,0.88,0.85,9.8,26.3062,4.1646,26.3062,4.1646,0.005,1.0,1.0
11,A_to_A,0.88,0.85,9.8,30.4511,4.1448,30.4511,4.1448,0.005,1.0,1.0
12,A_to_A,0.88,0.85,9.8,34.9301,4.479,34.9301,4.479,0.005,1.0,1.0
13,A_to_A,0.88,0.85,9.8,39.4515,4.5214,39.4515,4.5214,0.005,1.0,1.0
14,A_to_A,0.88,0.85,9.8,44.2669,4.8154,44.2669,4.8154,0.005,1.0,1.0
15,A_to_A,0.88,0.85,9.8,49.0542,4.7873,49.0542,4.7873,0.005,1.0,1.0
16,A_to_A,0.88,0.85,9.8,53.7106,4.6564,53.7106,4.6564,0.005,1.0,1.0
17,A_to_A,0.88,0.85,9.8,58.2366,4.5259,58.2366,4.5259,0.005,1.0,1.0
18,A_to_A,0.88,0.85,9.8,62.9912,4.7546,62.9912,4.7546,0.005,1.0,1.0
19,A_to_A,0.88,0.85,9.8,67.9619,4.9708,67.9619,4.9708,0.005,1.0,1.0
20,A_to_A,0.88,0.85,9.8,72.8465,4.8846,72.8465,4.8846,0.005,1.0,1.0
21,A_to_A,0.88,0.85,9.8,77.9444,5.0978,77.9444,5.0978,0.005,1.0,1.0
22,A_to_A,0.88,0.85,9.8,83.0188,5.0744,83.0188,5.0744,0.005,1.0,1.0
23,A_to_A,0.88,0.85,9.8,88.0912,5.0724,88.0912,5.0724,0.005,1.0,1.0
24,A_to_A,0.88,0.85,9.8,93.0118,4.9206,93.0118,4.9206,0.005,1.0,1.0
25,A_to_A,0.88,0.85,9.8,97.9984,4.9867,97.9984,4.9867,0.005,1.0,1.0
26,A_to_A,0.88,0.85,9.8,102.9846,4.9862,102.9846,4.9862,0.005,1.0,1.0
27,A_to_A,0.88,0.85,9.8,107.9546,4.9701,107.9546,4.9701,0.005,1.0,1.0
28,A_to_A,0.88,0.85,9.8,112.7918,4.8371,112.7918,4.8371,0.005,1.0,1.0
29,A_to_A,0.88,0.85,9.8,117.7045,4.9128,117.7045,4.9128,0.005,1.0,1.0
30,A_to_A,0.88,0.85,9.8,122.8532,5.1487,122.8532,5.1487,0.005,1.0,1.0
31,A_to_A,0.88,0.85,9.8,128.1093,5.2561,128.1093,5.2561,0.005,1.0,1.0
32,A_to_A,0.88,0.85,9.8,133.2006,5.0913,133.2006,5.0913,0.005,1.0,1.0
33,A_to_A,0.88,0.85,9.8,138.2077,5.0072,138.2077,5.0072,0.005,1.0,1.0
34,A_to_A,0.88,0.85,9.8,143.4467,5.239,143.4467,5.239,0.005,1.0,1.0
35,A_to_A,0.88,0.85,9.8,148.6299,5.1832,148.6299,5.1832,0.005,1.0,1.0
36,A_to_A,0.88,0.85,9.8,153.9457,5.3158,153.9457,5.3158,0.005,1.0,1.0
37,A_to_A,0.88,0.85,9.8,159.4366,5.4908,159.4366,5.4908,0.005,1.0,1.0
38,A_to_A,0.88,0.85,9.8,164.8931,5.4565,164.8931,5.4565,0.005,1.0,1.0
39,A_to_A,0.88,0.85,9.8,170.2856,5.3925,170.2856,5.3925,0.005,1.0,1.0
40,A_to_A,0.88,0.85,9.8,175.6973,5.4117,175.6973,5.4117,0.005,1.0,1.0
1,A_to_B_zero_shot,0.71,-0.85,4.2,0.6472,0.6472,-0.6472,-0.6472,1.8373,1.0,1.0
2,A_to_B_zero_shot,0.71,-0.85,4.2,-0.4437,0.2034,-1.8796,-1.2324,2.0294,1.0,1.0
3,A_to_B_zero_shot,0.71,-0.85,4.2,-2.3366,-0.457,-3.3821,-1.5025,1.4706,1.0,1.0
4,A_to_B_zero_shot,0.71,-0.85,4.2,-4.2649,-0.8828,-4.8884,-1.5063,0.8773,1.0,1.0
5,A_to_B_zero_shot,0.71,-0.85,4.2,-5.7808,-0.8924,-6.391,-1.5026,0.8592,1.0,1.0
6,A_to_B_zero_shot,0.71,-0.85,4.2,-7.1064,-0.7153,-8.0648,-1.6738,1.3572,1.0,1.0
7,A_to_B_zero_shot,0.71,-0.85,4.2,-9.0855,-1.0207,-9.7054,-1.6406,0.8777,1.0,1.0
8,A_to_B_zero_shot,0.71,-0.85,4.2,-10.4654,-0.76,-11.5539,-1.8485,1.5414,1.0,1.0
9,A_to_B_zero_shot,0.71,-0.85,4.2,-12.7416,-1.1877,-13.3054,-1.7515,0.8049,1.0,1.0
10,A_to_B_zero_shot,0.71,-0.85,4.2,-14.2418,-0.9364,-15.1539,-1.8485,1.2908,1.0,1.0
11,A_to_B_zero_shot,0.71,-0.85,4.2,-16.3458,-1.192,-16.901,-1.7471,0.7904,1.0,1.0
12,A_to_B_zero_shot,0.71,-0.85,4.2,-17.6151,-0.7142,-18.9646,-2.0637,1.9064,1.0,1.0
13,A_to_B_zero_shot,0.71,-0.85,4.2,-20.0801,-1.1154,-21.1305,-2.1658,1.4807,1.0,1.0
14,A_to_B_zero_shot,0.71,-0.85,4.2,-22.5687,-1.4382,-23.136,-2.0055,0.8009,1.0,1.0
