seed,epistemic_log_b21,epistemic_latency,epistemic_passed,epistemic_delta_v,epistemic_peak_v,epistemic_rmse_H1,epistemic_rmse_H2,random_log_b21,random_latency,random_passed,random_delta_v,random_peak_v,random_rmse_H1,random_rmse_H2
1,34.5871,6,True,0.0847,3.6149,0.08794,0.04438,18.8597,20,True,0.0566,2.7708,0.07057,0.04286
2,29.642,7,True,0.0799,3.7083,0.08559,0.04884,19.2856,20,True,0.0355,2.3595,0.07604,0.05068
3,23.4834,7,True,0.0887,3.6639,0.07639,0.04384,11.7478,28,True,0.0173,1.947,0.06344,0.04547
4,25.0611,6,True,0.0792,3.6288,0.07839,0.04437,69.0649,13,True,0.0849,3.3665,0.11597,0.04403
5,41.7534,6,True,0.0709,3.6024,0.09739,0.05025,8.3686,31,False,0.062,2.1528,0.06259,0.05023
6,34.5741,5,True,0.0936,3.6248,0.09034,0.04897,15.4497,25,True,0.0856,2.635,0.07049,0.04893
7,32.4264,6,True,0.0748,3.6518,0.08466,0.04198,16.5424,11,True,0.0452,2.5823,0.06727,0.04204
8,17.1114,13,True,0.0996,3.6116,0.07615,0.05428,11.0485,16,True,0.0341,2.3629,0.06414,0.04767
9,14.0565,11,True,0.0785,3.6414,0.06577,0.04453,42.7866,14,True,0.0834,3.0652,0.09609,0.04584
10,35.2267,7,True,0.0633,3.6264,0.09082,0.04876,9.1415,31,False,0.0585,2.5855,0.06244,0.04873
11,32.0098,7,True,0.071,3.6095,0.08724,0.0477,7.9996,31,False,0.0408,2.0939,0.05996,0.04757
12,31.7109,6,True,0.0657,3.6263,0.08758,0.04884,13.7748,17,True,0.0436,2.1685,0.07181,0.05349
13,38.1705,6,True,0.0823,3.6012,0.09455,0.05078,82.7563,9,True,0.1054,3.4266,0.1281,0.05117
14,42.0706,6,True,0.0766,3.611,0.09626,0.04748,16.1663,6,True,0.0396,2.4198,0.07063,0.0479
15,33.526,6,True,0.0698,3.6552,0.09228,0.05411,27.4682,10,True,0.0625,2.816,0.08671,0.05422
16,34.5318,6,True,0.0769,3.6508,0.08975,0.04795,10.0401,29,True,0.0376,2.2296,0.06329,0.0483
17,30.3172,7,True,0.0671,3.7137,0.09021,0.05554,29.5377,22,True,0.0605,2.7971,0.08987,0.05616
18,32.4049,7,True,0.083,3.6386,0.09075,0.05325,42.4882,24,True,0.125,3.1183,0.09879,0.05175
19,43.9666,6,True,0.0797,3.5741,0.09869,0.04911,16.8307,17,True,0.0506,2.7057,0.07026,0.04617
20,38.9102,6,True,0.0766,3.6802,0.09642,0.05302,12.1529,24,True,0.0363,2.6475,0.06989,0.05347
21,32.3192,6,True,0.0851,3.5704,0.08358,0.04,1.3379,31,False,0.0236,1.5948,0.04332,0.04067
22,11.9364,22,True,0.0703,3.6785,0.07047,0.05455,3.9036,31,False,0.0371,1.8497,0.06076,0.05515
23,31.3996,7,True,0.094,3.6388,0.08299,0.04066,3.7112,31,False,0.102,2.0453,0.04766,0.04066
24,8.4023,10,True,0.1,3.6584,0.07413,0.064,36.4178,10,True,0.0718,3.0198,0.10093,0.06416
25,26.4504,7,True,0.0846,3.5989,0.08373,0.05102,33.1006,11,True,0.0821,2.724,0.08954,0.05
26,20.5179,8,True,0.0734,3.6741,0.08083,0.0558,8.3661,31,False,0.0377,2.229,0.0673,0.05599
27,26.9017,6,True,0.0813,3.6204,0.08162,0.04668,30.9083,13,True,0.0688,2.8325,0.08596,0.04731
28,32.3523,6,True,0.0713,3.5899,0.09034,0.05263,19.8763,18,True,0.0616,2.2744,0.07947,0.0548
29,34.875,6,True,0.0664,3.6215,0.08809,0.04413,18.6345,13,True,0.056,2.9842,0.07099,0.04398
30,20.9939,8,True,0.0738,3.6394,0.0829,0.05809,23.7508,13,True,0.0525,2.7669,0.08457,0.05651
31,31.7712,6,True,0.0706,3.6941,0.09018,0.05326,6.1267,31,False,0.0338,1.9902,0.06177,0.05286
32,30.5752,7,True,0.0738,3.5851,0.08288,0.04211,27.4415,17,True,0.0652,2.7126,0.07981,0.04238
33,36.2585,7,True,0.0641,3.6973,0.09442,0.05359,6.3148,31,False,0.0218,2.0311,0.06364,0.05475
34,32.1277,7,True,0.067,3.6001,0.08541,0.04404,60.2223,11,True,0.0848,3.1284,0.10911,0.04322
35,38.7477,6,True,0.0618,3.6529,0.09433,0.04939,34.5856,6,True,0.066,2.8089,0.09066,0.04955
36,24.2516,9,True,0.0882,3.6393,0.08975,0.06335,39.053,6,True,0.1158,2.735,0.10288,0.06385
37,42.2473,5,True,0.0607,3.6131,0.09567,0.04596,13.3466,10,True,0.0392,2.4568,0.06538,0.04527
38,36.4948,6,True,0.0679,3.6365,0.09038,0.04568,33.6694,9,True,0.072,2.9849,0.08734,0.04491
39,26.4423,7,True,0.0824,3.6337,0.08071,0.0459,34.2178,17,True,0.0765,3.3774,0.08801,0.04521
40,23.1884,7,True,0.0799,3.6291,0.07842,0.04781,19.235,20,True,0.0393,2.3056,0.07418,0.04793
41,23.2143,9,True,0.0729,3.6223,0.07914,0.04893,22.7791,19,True,0.0733,2.5848,0.07748,0.04698
42,30.6113,7,True,0.0642,3.5961,0.07909,0.03396,8.9108,31,False,0.0516,2.3823,0.05133,0.03391
43,28.9827,8,True,0.0767,3.6302,0.08558,0.04993,15.7573,14,True,0.0274,1.9774,0.07189,0.05042
44,28.5665,7,True,0.0793,3.6677,0.0827,0.04558,33.3173,12,True,0.0568,3.0563,0.08599,0.04292
45,23.5957,8,True,0.0869,3.6518,0.07885,0.0478,41.604,9,True,0.0806,3.2516,0.09519,0.04611
46,42.3555,5,True,0.0673,3.6122,0.10028,0.05474,29.9034,18,True,0.0878,3.1181,0.08782,0.05223
47,34.1592,6,True,0.079,3.5956,0.08957,0.04827,24.0692,17,True,0.0592,2.993,0.07907,0.04733
48,31.3345,6,True,0.0671,3.6142,0.0825,0.0398,26.9463,12,True,0.0679,2.8209,0.07802,0.03994
49,19.6224,7,True,0.0852,3.6676,0.07644,0.05073,79.2598,16,True,0.0855,3.3215,0.12543,0.05024
50,41.3776,6,True,0.0678,3.642,0.10192,0.0591,1.5493,31,False,0.0305,2.02,0.06153,0.05939
