step,policy,action,velocity,observed_drag,delta_v,k1_hat,k2_hat,log_b21
1,Epistemic,-0.4,0.0,0.0631,0.0,0.08,0.08,0.0
2,Epistemic,-1.0,-0.3369,-0.0335,0.0179,-0.0993,-0.2949,0.0
3,Epistemic,-1.0,-1.3703,0.1614,0.4176,0.1054,0.0846,0.637
4,Epistemic,-1.0,-2.2089,0.2825,0.1798,0.1214,0.0614,0.3408
5,Epistemic,-1.0,-2.9264,0.6807,0.1702,0.1831,0.0746,8.4619
6,Epistemic,-1.0,-3.2457,0.9137,0.1912,0.223,0.0809,19.0235
7,Epistemic,-1.0,-3.332,0.972,0.1556,0.2436,0.0834,25.6855
8,Epistemic,-1.0,-3.36,0.8461,0.1228,0.2455,0.0811,24.4912
9,Epistemic,-1.0,-3.5138,0.9605,0.1381,0.2512,0.0802,25.7687
10,Epistemic,-1.0,-3.5534,0.9967,0.1207,0.2562,0.08,27.5204
11,Epistemic,-1.0,-3.5567,0.8765,0.1004,0.2548,0.0781,24.6987
12,Epistemic,-1.0,-3.6802,1.1677,0.1207,0.2633,0.0795,31.8445
13,Epistemic,-1.0,-3.5125,1.022,0.0557,0.2663,0.0799,33.2209
14,Epistemic,-1.0,-3.4906,1.0012,0.0435,0.2684,0.0801,34.0029
15,Epistemic,-1.0,-3.4894,1.026,0.039,0.2706,0.0805,35.0025
16,Epistemic,-1.0,-3.4634,0.9427,0.0283,0.2708,0.0803,34.9115
17,Epistemic,-1.0,-3.5206,1.0028,0.0426,0.2719,0.0804,35.3551
18,Epistemic,-1.0,-3.5178,1.0322,0.0385,0.2734,0.0806,36.1656
19,Epistemic,-1.0,-3.4856,1.0099,0.0265,0.2745,0.0808,36.5993
20,Epistemic,-1.0,-3.4757,0.9419,0.022,0.2743,0.0806,36.4089
21,Epistemic,-1.0,-3.5338,0.9359,0.0375,0.2737,0.0803,35.6792
22,Epistemic,-1.0,-3.5979,1.0666,0.0541,0.275,0.0804,36.7966
23,Epistemic,-1.0,-3.5313,1.0175,0.0313,0.2757,0.0805,37.1607
24,Epistemic,-1.0,-3.5138,0.933,0.0246,0.2752,0.0802,36.7133
25,Epistemic,-1.0,-3.5807,1.0826,0.0429,0.2765,0.0804,37.9508
26,Epistemic,-1.0,-3.4981,1.0109,0.0168,0.2771,0.0805,38.1763
27,Epistemic,-1.0,-3.4872,0.9946,0.013,0.2775,0.0806,38.2845
28,Epistemic,-1.0,-3.4926,0.9807,0.014,0.2776,0.0806,38.3098
29,Epistemic,-1.0,-3.5119,1.0148,0.0189,0.278,0.0806,38.5314
30,Epistemic,-1.0,-3.4971,1.0499,0.0139,0.2789,0.0808,38.9102
1,RandomBabbler,-1.0,0.0,0.0631,0.0,0.08,0.08,0.0
2,RandomBabbler,-1.0,-0.9369,0.0277,0.0047,0.0295,0.0315,0.0
3,RandomBabbler,0.0,-1.9092,0.3028,0.0585,0.1336,0.0803,1.9699
4,RandomBabbler,1.0,-1.6064,0.0986,0.0075,0.1073,0.0667,2.0848
5,RandomBabbler,0.0,-0.5077,0.0162,0.0373,0.1047,0.0667,2.3672
6,RandomBabbler,0.4,-0.4915,0.0902,0.0353,0.1072,0.0676,1.5626
7,RandomBabbler,-0.7,-0.0013,0.0839,0.0001,0.1072,0.0676,1.5581
8,RandomBabbler,-0.4,-0.6174,-0.0265,0.0404,0.1001,0.0666,2.6528
9,RandomBabbler,1.0,-1.0439,0.0599,0.0318,0.0949,0.066,2.9718
10,RandomBabbler,-0.7,0.0159,-0.0135,0.0015,0.0949,0.066,2.9642
11,RandomBabbler,0.4,-0.6976,-0.0966,0.0341,0.0831,0.0632,4.718
12,RandomBabbler,-0.4,-0.3941,0.0966,0.0229,0.0857,0.0638,4.016
13,RandomBabbler,-0.4,-0.6975,0.0739,0.0287,0.0866,0.0647,3.6912
14,RandomBabbler,0.0,-1.0237,0.1103,0.0208,0.0886,0.0666,3.4319
15,RandomBabbler,0.4,-0.9133,0.1187,0.0253,0.0914,0.0688,2.9234
16,RandomBabbler,0.4,-0.3947,-0.0044,0.0254,0.0901,0.0687,3.2015
17,RandomBabbler,-0.4,0.0009,0.0112,0.0001,0.0901,0.0687,3.2019
18,RandomBabbler,-0.4,-0.3879,0.0542,0.0246,0.0907,0.0689,2.8903
19,RandomBabbler,0.0,-0.7336,0.081,0.0295,0.0916,0.0699,2.549
20,RandomBabbler,-1.0,-0.6526,0.0095,0.03,0.0891,0.0695,2.9563
21,RandomBabbler,0.0,-1.6431,0.1529,0.0413,0.0898,0.0666,2.775
22,RandomBabbler,-0.7,-1.4902,0.2086,0.0142,0.0959,0.0702,3.1208
23,RandomBabbler,-1.0,-1.9816,0.334,0.0859,0.1087,0.0746,6.0584
24,RandomBabbler,0.4,-2.6475,0.5061,0.235,0.1285,0.0734,13.2658
25,RandomBabbler,0.7,-1.7415,0.2995,0.0011,0.1326,0.0755,13.2226
26,RandomBabbler,0.0,-0.742,0.076,0.0568,0.1321,0.0757,13.0849
27,RandomBabbler,-0.7,-0.666,0.0572,0.0544,0.1315,0.0758,13.1598
28,RandomBabbler,0.0,-1.3087,0.1419,0.0422,0.1303,0.076,13.3045
29,RandomBabbler,0.4,-1.1668,0.1371,0.0486,0.1299,0.0764,13.1254
30,RandomBabbler,0.7,-0.6298,0.1033,0.0515,0.1302,0.0766,12.1529
